experiment_id,start_date,page,primary_metric,baseline_window,baseline_views,baseline_clicks,change,status,commercial_intent
tablet-redmi-cta-20260622,2026-06-22,/posts/2026/04/ipadshiyanakutemozheng-jie-haaru-shiyaominotahuretsutoha-du/,affiliate_slot:tablet-early-redmi-pad-2,2026-05-25..2026-06-21,13,0,"Replace four mismatched CTA choices with one REDMI Pad 2 Rakuten CTA and current 2026 models",active,true
booklore-server-cta-20260622,2026-06-22,/posts/2026/02/wu-liao-tekobo-koreadertong-qi-epub-pdf-mankayong-ri-ta-wobe/,affiliate_slot:booklore-storage-mini-pc,2026-05-25..2026-06-21,11,0,"Replace six reader/store CTAs with one self-hosting mini-PC CTA and add official BookLore source",active,true
kobo-epub-clara-cta-20260622,2026-06-22,/posts/2026/02/koboteepubwokireinibiao-shi-surutamenobian-huan-she-ding-cal/,affiliate_slot:kobo-epub-clara-bw,2026-05-25..2026-06-21,9,0,"Replace six generic device/store CTAs with one Kobo Clara BW CTA aligned to EPUB testing intent",active,true
kindle-kobo-choice-20260622,2026-06-22,/posts/kindle-vs-kobo/,page_affiliate_ctr,2026-05-25..2026-06-21,9,0,"Replace seven mixed CTAs with two product-specific choices and distinct Paperwhite/Clara BW slots",active,true
notebooklm-epub-seo-20260622,2026-06-22,/posts/2026/03/notebooklm-niepub-pptxhuairunosaho-to-ainiyorusuraitoxiu-zhe/,gsc_query_ctr:notebooklm epub,2026-05-24..2026-06-20,5,0,"Rewrite truncated news-style metadata as an EPUB upload guide and add one relevant books CTA",active,false
notebooklm-pc-seo-20260622,2026-06-22,/posts/2026/04/notebooklmnizi-zuo-pcnoshi-yang-wodu-miip-masetara-torahurun/,gsc_query_ctr:notebooklm pc,2026-05-24..2026-06-20,6,0,"Answer PC access intent first, fix truncated metadata, add safety boundaries and one self-build PC books CTA",active,false
old-kindle-internal-links-20260622,2026-06-22,/posts/2026/05/saho-tozhong-liao-nogu-ikindle-she-teruqian-nishi-shitai-di/,gsc_page_impressions,2026-05-24..2026-06-20,6,2,"Add contextual inbound links from jailbreak and word-processor reuse articles without changing the proven target page",active,false
recommend-scale-internal-link-20260622,2026-06-22,/recommend/,page_affiliate_ctr,2026-05-25..2026-06-21,1,0,"Add one contextual inbound link from the proven Kindle/Kobo sale-tracking article immediately after the store-selection decision",active,true
kindle-lp-scale-internal-link-20260622,2026-06-22,/lp/kindle/,page_affiliate_ctr,2026-05-25..2026-06-21,5,0,"Add one contextual inbound link from the proven old-Kindle reuse article at the current-device replacement decision",active,true
post-europe-product-intent-20260623,2026-06-23,/posts/2026/01/tekunoroshi-toshi-cun-de-nixiang-kihe-utamenobi-du-shu-yuku/,gsc_page_impressions,2026-05-24..2026-06-20,25,0,"Rewrite generic search metadata for exact title intent and replace generic device CTAs with direct Kindle and Kobo editions",active,true
ebook-sale-scale-links-20260624,2026-06-24,/posts/2025/12/dian-zi-shu-ji-nose-ruwoxiao-lu-yokuzhui-ufang-fa/,gsc_page_impressions,2026-05-26..2026-06-22,61,2,"Classify proven sale-tracking page as commercial intent and add decision links to recommend, Kindle LP, Kobo LP, and Kindle/Kobo comparison",active,true
python-security-sale-meta-20260624,2026-06-24,/posts/2026/05/pythonreheruatsuhutoriru-sekiyuritei1nian-sheng-kaban-e-kind/,gsc_page_impressions,2026-05-26..2026-06-22,25,0,"Rewrite title and description around Kindle reading fair, Python/security book selection, and add an above-fold selection table",active,true
gemini-notebooklm-scale-links-20260624,2026-06-24,/posts/2026/04/gemini-ahurini-notebooklm-worong-he-zi-fen-takenozhi-shi-db/,gsc_page_impressions,2026-05-26..2026-06-22,10,1,"Fix truncated description and add contextual inbound links from Kindle/Kobo highlight and Google Docs highlight workflows",active,false
fiction-first-choice-cta-20260624,2026-06-24,/fiction/,page_affiliate_ctr,2026-05-26..2026-06-22,5,0,"Replace one generic first-pick CTA with three genre-specific KDP entry buttons for political, IT, and romance readers",active,true
unused-ipad-search-cta-20260624,2026-06-24,/posts/2026/02/imaichihuo-yong-tekitenaiipadwosheng-kifan-raserutameno-hura/,gsc_page_impressions,2026-05-26..2026-06-22,19,0,"Rewrite title and description for unused iPad intent, then add early measured accessory CTAs for stand, keyboard, and Rakuten comparison",active,true
scribe-colorsoft-search-20260624,2026-06-24,/posts/2026/02/the-kindle-scribe-colorsoft-is-a-pricey-but-pretty-e-ink-col/,gsc_page_impressions,2026-05-26..2026-06-22,11,0,"Rewrite title and description around Colorsoft comparison intent, add an early decision table, and sharpen measured device CTAs",active,true
programming-books-language-cta-20260624,2026-06-24,/posts/2026/05/python-javascript-c-natogao-jia-nahurokuraminkuben-kaan-i-am/,gsc_page_impressions,2026-05-26..2026-06-22,9,0,"Rewrite title and description around Python JavaScript C# book-selection intent, classify as commercial, and add language-specific Kindle CTAs",active,true
home-search-positioning-20260624,2026-06-24,/,gsc_page_impressions,2026-05-26..2026-06-22,6,0,"Rewrite site title, description, label, and home intro around Kindle Kobo reader comparison and purchase-guide intent",active,true
